team1,team2,score1,score2,odd_team1,oddDraw,odd_team2,time,date
France,Wales,35,43,,,,,17 Mar 2001
Scotland,Italy,23,19,,,,,17 Mar 2001
Italy,France,19,30,,,,,3 Mar 2001
England,Scotland,43,3,,,,,3 Mar 2001
Scotland,Wales,28,28,,,,,17 Fev 2001
England,Italy,80,23,,,,,17 Fev 2001
Ireland,France,22,15,,,,,17 Fev 2001
France,Scotland,16,6,,,,,4 Fev 2001
Wales,England,15,44,,,,,3 Fev 2001
Italy,Ireland,22,41,,,,,3 Fev 2001
England,South Africa,25,17,,,,,2  2000
Wales,South Africa,13,23,,,,,26 Nov 2000
Italy,New Zealand,19,56,,,,,25 Nov 2000
England,Argentina,19,0,,,,,25 Nov 2000
Ireland,South Africa,18,28,,,,,19 Nov 2000
France,New Zealand,42,33,,,,,18 Nov 2000
England,Australia,22,19,,,,,18 Nov 2000
Argentina,South Africa,33,37,,,,,12 Nov 2000
France,New Zealand,26,39,,,,,11 Nov 2000
Scotland,Australia,9,30,,,,,11 Nov 2000
France,Australia,13,18,,,,,4 Nov 2000
South Africa,Australia,18,19,,,,,26 Aou 2000
South Africa,New Zealand,46,40,,,,,19 Aou 2000
New Zealand,Australia,23,24,,,,,5 Aou 2000
Australia,South Africa,26,6,,,,,29 Jul 2000
New Zealand,South Africa,25,12,,,,,22 Jul 2000
Australia,New Zealand,35,39,,,,,15 Jul 2000
Australia,South Africa,44,23,,,,,8 Jul 2000
New Zealand,Scotland,48,14,,,,,1 Jul 2000
South Africa,England,22,27,,,,,24 Jui 2000
Australia,Argentina,32,25,,,,,24 Jui 2000
New Zealand,Scotland,69,20,,,,,24 Jui 2000
South Africa,England,18,13,,,,,17 Jui 2000
Australia,Argentina,53,6,,,,,17 Jui 2000
Argentina,Ireland,34,23,,,,,3 Jui 2000
Scotland,England,19,13,,,,,2 Avr 2000
France,Italy,42,31,,,,,1 Avr 2000
Ireland,Wales,19,23,,,,,1 Avr 2000
France,Ireland,25,27,,,,,19 Mar 2000
Italy,England,12,59,,,,,18 Mar 2000
Wales,Scotland,26,18,,,,,18 Mar 2000
Scotland,France,16,28,,,,,4 Mar 2000
Ireland,Italy,60,13,,,,,4 Mar 2000
England,Wales,46,12,,,,,4 Mar 2000
Ireland,Scotland,44,22,,,,,19 Fev 2000
Wales,Italy,47,16,,,,,19 Fev 2000
France,England,9,15,,,,,19 Fev 2000
Wales,France,3,36,,,,,5 Fev 2000
Italy,Scotland,34,20,,,,,5 Fev 2000
England,Ireland,50,18,,,,,5 Fev 2000
Australia,France,35,12,,,,,6 Nov 1999
South Africa,New Zealand,22,18,,,,,4 Nov 1999
New Zealand,France,31,43,,,,,31 Oct 1999
Australia,South Africa,27,21,,,,,30 Oct 1999
Argentina,France,26,47,,,,,24 Oct 1999
England,South Africa,21,44,,,,,24 Oct 1999
Scotland,New Zealand,18,30,,,,,24 Oct 1999
Wales,Australia,9,24,,,,,23 Oct 1999
Argentina,Ireland,28,24,,,,,20 Oct 1999
New Zealand,Italy,101,3,,,,,14 Oct 1999
Ireland,Australia,3,23,,,,,10 Oct 1999
England,New Zealand,16,30,,,,,9 Oct 1999
Scotland,South Africa,29,46,,,,,3 Oct 1999
England,Italy,67,7,,,,,2 Oct 1999
Wales,Argentina,23,18,,,,,1 Oct 1999
Ireland,Argentina,32,24,,,,,28 Aou 1999
Wales,France,34,23,,,,,28 Aou 1999
Australia,New Zealand,28,7,,,,,28 Aou 1999
Scotland,Argentina,22,31,,,,,21 Aou 1999
South Africa,Australia,10,9,,,,,14 Aou 1999
South Africa,New Zealand,18,34,,,,,7 Aou 1999
New Zealand,Australia,34,15,,,,,24 Jul 1999
Australia,South Africa,32,6,,,,,17 Jul 1999
New Zealand,South Africa,28,0,,,,,10 Jul 1999
Wales,South Africa,29,19,,,,,26 Jui 1999
Australia,England,22,15,,,,,26 Jui 1999
New Zealand,France,54,7,,,,,26 Jui 1999
Australia,Ireland,32,26,,,,,19 Jui 1999
South Africa,Italy,101,0,,,,,19 Jui 1999
Argentina,Wales,16,23,,,,,12 Jui 1999
Australia,Ireland,46,10,,,,,12 Jui 1999
South Africa,Italy,74,3,,,,,12 Jui 1999
Argentina,Wales,26,36,,,,,5 Jui 1999
England,Wales,32,31,,,,,11 Avr 1999
France,Scotland,22,36,,,,,10 Avr 1999
Ireland,Italy,39,30,,,,,10 Avr 1999
Italy,Wales,21,60,,,,,20 Mar 1999
Scotland,Ireland,30,13,,,,,20 Mar 1999
England,France,21,10,,,,,20 Mar 1999
France,Wales,33,34,,,,,6 Mar 1999
Ireland,England,15,27,,,,,6 Mar 1999
Scotland,Italy,30,12,,,,,6 Mar 1999
Wales,Ireland,23,29,,,,,20 Fev 1999
England,Scotland,24,21,,,,,20 Fev 1999
Scotland,Wales,33,20,,,,,6 Fev 1999
Ireland,France,9,10,,,,,6 Fev 1999
England,South Africa,13,7,,,,,5  1998
Ireland,South Africa,13,27,,,,,28 Nov 1998
England,Australia,11,12,,,,,28 Nov 1998
England,Italy,23,15,,,,,22 Nov 1998
Scotland,South Africa,10,35,,,,,21 Nov 1998
France,Australia,21,32,,,,,21 Nov 1998
Wales,Argentina,43,30,,,,,21 Nov 1998
Wales,South Africa,20,28,,,,,14 Nov 1998
France,Argentina,34,14,,,,,14 Nov 1998
Italy,Argentina,23,19,,,,,7 Nov 1998
Australia,New Zealand,19,14,,,,,29 Aou 1998
South Africa,Australia,29,15,,,,,22 Aou 1998
South Africa,New Zealand,24,23,,,,,15 Aou 1998
New Zealand,Australia,23,27,,,,,1 Aou 1998
New Zealand,South Africa,3,13,,,,,25 Jul 1998
Australia,South Africa,13,14,,,,,18 Jul 1998
Australia,New Zealand,24,16,,,,,11 Jul 1998
South Africa,England,18,0,,,,,4 Jul 1998
South Africa,Wales,96,13,,,,,27 Jui 1998
New Zealand,England,40,10,,,,,27 Jui 1998
Argentina,France,12,37,,,,,20 Jui 1998
New Zealand,England,64,22,,,,,20 Jui 1998
Australia,Scotland,33,11,,,,,20 Jui 1998
South Africa,Ireland,33,0,,,,,20 Jui 1998
Argentina,France,18,35,,,,,13 Jui 1998
South Africa,Ireland,37,13,,,,,13 Jui 1998
Australia,Scotland,45,3,,,,,13 Jui 1998
Australia,England,76,0,,,,,6 Jui 1998
Wales,France,0,51,,,,,5 Avr 1998
England,Ireland,35,17,,,,,4 Avr 1998
Scotland,England,20,34,,,,,22 Mar 1998
Ireland,Wales,21,30,,,,,21 Mar 1998
France,Ireland,18,16,,,,,7 Mar 1998
Wales,Scotland,19,13,,,,,7 Mar 1998
Scotland,France,16,51,,,,,21 Fev 1998
England,Wales,60,26,,,,,21 Fev 1998
Wales,Italy,23,20,,,,,7 Fev 1998
Ireland,Scotland,16,17,,,,,7 Fev 1998
France,England,24,17,,,,,7 Fev 1998
Italy,Scotland,25,21,,,,,24 Jan 1998
Italy,Ireland,37,22,,,,,20  1997
Scotland,South Africa,10,68,,,,,6  1997
England,New Zealand,26,26,,,,,6  1997
Wales,New Zealand,7,42,,,,,29 Nov 1997
England,South Africa,11,29,,,,,29 Nov 1997
France,South Africa,10,52,,,,,22 Nov 1997
Scotland,Australia,8,37,,,,,22 Nov 1997
England,New Zealand,8,25,,,,,22 Nov 1997
Ireland,New Zealand,15,63,,,,,15 Nov 1997
France,South Africa,32,36,,,,,15 Nov 1997
England,Australia,15,15,,,,,15 Nov 1997
Italy,South Africa,31,62,,,,,8 Nov 1997
Argentina,Australia,18,16,,,,,8 Nov 1997
Argentina,Australia,15,23,,,,,1 Nov 1997
France,Argentina,32,27,,,,,26 Oct 1997
Argentina,Italy,18,18,,,,,22 Oct 1997
France,Italy,30,19,,,,,18 Oct 1997
South Africa,Australia,61,22,,,,,23 Aou 1997
New Zealand,Australia,36,24,,,,,16 Aou 1997
New Zealand,South Africa,55,35,,,,,9 Aou 1997
Australia,South Africa,32,20,,,,,2 Aou 1997
Australia,New Zealand,18,33,,,,,26 Jul 1997
South Africa,New Zealand,32,35,,,,,19 Jul 1997
Australia,England,25,6,,,,,12 Jul 1997
New Zealand,Australia,30,13,,,,,5 Jul 1997
Australia,France,26,19,,,,,28 Jui 1997
New Zealand,Argentina,62,10,,,,,28 Jui 1997
Australia,France,29,15,,,,,21 Jui 1997
New Zealand,Argentina,93,8,,,,,21 Jui 1997
Argentina,England,33,13,,,,,7 Jui 1997
Argentina,England,20,46,,,,,31 Mai 1997
France,Italy,32,40,,,,,22 Mar 1997
Wales,England,13,34,,,,,15 Mar 1997
France,Scotland,47,20,,,,,15 Mar 1997
England,France,20,23,,,,,1 Mar 1997
Scotland,Ireland,38,10,,,,,1 Mar 1997
Ireland,England,6,46,,,,,15 Fev 1997
France,Wales,27,22,,,,,15 Fev 1997
Wales,Ireland,25,26,,,,,1 Fev 1997
England,Scotland,41,13,,,,,1 Fev 1997
Scotland,Wales,19,34,,,,,18 Jan 1997
Ireland,France,15,32,,,,,18 Jan 1997
Ireland,Italy,29,37,,,,,4 Jan 1997
Wales,South Africa,20,37,,,,,15  1996
Scotland,Italy,29,22,,,,,14  1996
England,Argentina,20,18,,,,,14  1996
France,South Africa,12,13,,,,,7  1996
Wales,Australia,19,28,,,,,1  1996
France,South Africa,12,22,,,,,30 Nov 1996
Ireland,Australia,12,22,,,,,23 Nov 1996
England,Italy,54,21,,,,,23 Nov 1996
Argentina,South Africa,21,44,,,,,16 Nov 1996
Argentina,South Africa,15,46,,,,,9 Nov 1996
Scotland,Australia,19,29,,,,,9 Nov 1996
Italy,Australia,18,40,,,,,23 Oct 1996
Italy,Wales,22,31,,,,,5 Oct 1996
Wales,France,33,40,,,,,25 Sep 1996
South Africa,New Zealand,32,22,,,,,31 Aou 1996
South Africa,New Zealand,26,33,,,,,24 Aou 1996
South Africa,New Zealand,19,23,,,,,17 Aou 1996
South Africa,New Zealand,18,29,,,,,10 Aou 1996
South Africa,Australia,25,19,,,,,3 Aou 1996
Australia,New Zealand,25,32,,,,,27 Jul 1996
New Zealand,South Africa,15,11,,,,,20 Jul 1996
Australia,South Africa,21,16,,,,,13 Jul 1996
New Zealand,Australia,43,6,,,,,6 Jul 1996
Argentina,France,15,34,,,,,29 Jui 1996
Argentina,France,27,34,,,,,22 Jui 1996
New Zealand,Scotland,36,12,,,,,22 Jui 1996
Australia,Wales,42,3,,,,,22 Jui 1996
New Zealand,Scotland,62,31,,,,,15 Jui 1996
Australia,Wales,56,25,,,,,9 Jui 1996
England,Ireland,28,15,,,,,16 Mar 1996
Wales,France,16,15,,,,,16 Mar 1996
Scotland,England,9,18,,,,,2 Mar 1996
Ireland,Wales,30,17,,,,,2 Mar 1996
Wales,Scotland,14,16,,,,,17 Fev 1996
France,Ireland,45,10,,,,,17 Fev 1996
England,Wales,21,15,,,,,3 Fev 1996
Scotland,France,19,14,,,,,3 Fev 1996
Ireland,Scotland,10,16,,,,,20 Jan 1996
France,England,15,12,,,,,20 Jan 1996
Wales,Italy,31,26,,,,,16 Jan 1996
France,New Zealand,12,37,,,,,18 Nov 1995
England,South Africa,14,24,,,,,18 Nov 1995
Italy,South Africa,21,40,,,,,12 Nov 1995
France,New Zealand,22,15,,,,,11 Nov 1995
Italy,New Zealand,6,70,,,,,28 Oct 1995
Argentina,France,12,47,,,,,21 Oct 1995
Argentina,Italy,26,6,,,,,17 Oct 1995
France,Italy,34,22,,,,,14 Oct 1995
South Africa,Wales,40,11,,,,,2 Sep 1995
Australia,New Zealand,23,34,,,,,29 Jul 1995
New Zealand,Australia,28,16,,,,,22 Jul 1995
South Africa,New Zealand,15,12,,,,,24 Jui 1995
England,France,9,19,,,,,22 Jui 1995
New Zealand,England,45,29,,,,,18 Jui 1995
South Africa,France,19,15,,,,,17 Jui 1995
New Zealand,Scotland,48,30,,,,,11 Jui 1995
England,Australia,25,22,,,,,11 Jui 1995
France,Ireland,36,12,,,,,10 Jui 1995
Argentina,Italy,25,31,,,,,4 Jui 1995
Ireland,Wales,24,23,,,,,4 Jui 1995
France,Scotland,22,19,,,,,3 Jui 1995
England,Italy,27,20,,,,,31 Mai 1995
New Zealand,Wales,34,9,,,,,31 Mai 1995
Ireland,New Zealand,19,43,,,,,27 Mai 1995
England,Argentina,24,18,,,,,27 Mai 1995
South Africa,Australia,18,27,,,,,25 Mai 1995
Australia,Argentina,30,13,,,,,6 Mai 1995
Italy,Ireland,22,12,,,,,6 Mai 1995
Australia,Argentina,53,7,,,,,30 Avr 1995
Wales,Ireland,12,16,,,,,18 Mar 1995
England,Scotland,24,12,,,,,18 Mar 1995
Ireland,France,7,25,,,,,4 Mar 1995
Scotland,Wales,26,13,,,,,4 Mar 1995
France,Scotland,21,23,,,,,18 Fev 1995
Wales,England,9,23,,,,,18 Fev 1995
Scotland,Ireland,26,13,,,,,4 Fev 1995
England,France,31,10,,,,,4 Fev 1995
Ireland,England,8,20,,,,,21 Jan 1995
France,Wales,21,9,,,,,21 Jan 1995
Wales,South Africa,12,20,,,,,26 Nov 1994
Scotland,South Africa,10,34,,,,,19 Nov 1994
South Africa,Argentina,46,26,,,,,15 Oct 1994
Wales,Italy,29,19,,,,,12 Oct 1994
South Africa,Argentina,42,22,,,,,8 Oct 1994
Australia,New Zealand,20,16,,,,,17 Aou 1994
New Zealand,South Africa,18,18,,,,,6 Aou 1994
New Zealand,South Africa,13,9,,,,,23 Jul 1994
New Zealand,South Africa,22,14,,,,,9 Jul 1994
New Zealand,France,20,23,,,,,3 Jul 1994
New Zealand,France,8,22,,,,,26 Jui 1994
Australia,Italy,20,7,,,,,25 Jui 1994
Australia,Italy,23,20,,,,,18 Jui 1994
Australia,Ireland,32,18,,,,,11 Jui 1994
Argentina,Scotland,19,17,,,,,11 Jui 1994
South Africa,England,27,9,,,,,11 Jui 1994
Australia,Ireland,33,13,,,,,5 Jui 1994
South Africa,England,15,32,,,,,4 Jui 1994
Argentina,Scotland,16,15,,,,,4 Jui 1994
Scotland,France,12,20,,,,,19 Mar 1994
England,Wales,15,8,,,,,19 Mar 1994
France,England,14,18,,,,,5 Mar 1994
Ireland,Scotland,6,6,,,,,5 Mar 1994
Wales,France,24,15,,,,,19 Fev 1994
England,Ireland,12,13,,,,,19 Fev 1994
Ireland,Wales,15,17,,,,,5 Fev 1994
Scotland,England,14,15,,,,,5 Fev 1994
France,Ireland,35,15,,,,,15 Jan 1994
Wales,Scotland,29,6,,,,,15 Jan 1994
England,New Zealand,15,9,,,,,27 Nov 1993
Scotland,New Zealand,15,51,,,,,20 Nov 1993
Argentina,South Africa,23,52,,,,,13 Nov 1993
Argentina,South Africa,26,29,,,,,6 Nov 1993
France,Australia,3,24,,,,,6 Nov 1993
France,Australia,16,13,,,,,30 Oct 1993
Australia,South Africa,19,12,,,,,21 Aou 1993
Australia,South Africa,28,20,,,,,14 Aou 1993
Australia,South Africa,12,19,,,,,31 Jul 1993
New Zealand,Australia,25,10,,,,,17 Jul 1993
South Africa,France,17,18,,,,,3 Jul 1993
South Africa,France,20,20,,,,,26 Jui 1993
France,Wales,26,10,,,,,20 Mar 1993
Ireland,England,17,3,,,,,20 Mar 1993
Wales,Ireland,14,19,,,,,6 Mar 1993
England,Scotland,26,12,,,,,6 Mar 1993
Ireland,France,6,21,,,,,20 Fev 1993
Scotland,Wales,20,0,,,,,20 Fev 1993
Wales,England,10,9,,,,,6 Fev 1993
France,Scotland,11,3,,,,,6 Fev 1993
England,France,16,15,,,,,16 Jan 1993
Scotland,Ireland,15,3,,,,,16 Jan 1993
Wales,Australia,6,23,,,,,21 Nov 1992
France,Argentina,20,24,,,,,14 Nov 1992
England,South Africa,33,16,,,,,14 Nov 1992
Ireland,Australia,17,42,,,,,31 Oct 1992
France,South Africa,29,16,,,,,24 Oct 1992
France,South Africa,15,20,,,,,17 Oct 1992
South Africa,Australia,3,26,,,,,29 Aou 1992
South Africa,New Zealand,24,27,,,,,15 Aou 1992
Australia,New Zealand,23,26,,,,,25 Jul 1992
Australia,New Zealand,19,17,,,,,19 Jul 1992
Argentina,France,9,33,,,,,11 Jul 1992
Argentina,France,12,27,,,,,4 Jul 1992
Australia,New Zealand,16,15,,,,,4 Jul 1992
Australia,Scotland,37,13,,,,,21 Jui 1992
Australia,Scotland,27,12,,,,,13 Jui 1992
New Zealand,Ireland,59,6,,,,,6 Jui 1992
New Zealand,Ireland,24,21,,,,,30 Mai 1992
Wales,Scotland,15,12,,,,,21 Mar 1992
France,Ireland,44,12,,,,,21 Mar 1992
Scotland,France,10,6,,,,,7 Mar 1992
England,Wales,24,0,,,,,7 Mar 1992
France,England,13,31,,,,,15 Fev 1992
Ireland,Scotland,10,18,,,,,15 Fev 1992
Wales,France,9,12,,,,,1 Fev 1992
England,Ireland,38,9,,,,,1 Fev 1992
Scotland,England,7,25,,,,,18 Jan 1992
Ireland,Wales,15,16,,,,,18 Jan 1992
England,Australia,6,12,,,,,2 Nov 1991
New Zealand,Scotland,13,6,,,,,30 Oct 1991
New Zealand,Australia,6,16,,,,,27 Oct 1991
Scotland,England,6,9,,,,,26 Oct 1991
Ireland,Australia,18,19,,,,,20 Oct 1991
France,England,10,19,,,,,19 Oct 1991
New Zealand,Italy,31,21,,,,,13 Oct 1991
Wales,Australia,3,38,,,,,12 Oct 1991
Wales,Argentina,16,7,,,,,9 Oct 1991
England,Italy,36,6,,,,,8 Oct 1991
Australia,Argentina,32,19,,,,,4 Oct 1991
Scotland,Ireland,24,15,,,,,4 Oct 1991
England,New Zealand,12,18,,,,,3 Oct 1991
Wales,France,9,22,,,,,4 Sep 1991
New Zealand,Australia,6,3,,,,,24 Aou 1991
Australia,New Zealand,21,12,,,,,10 Aou 1991
Australia,England,40,15,,,,,27 Jul 1991
Australia,Wales,63,6,,,,,22 Jul 1991
Argentina,New Zealand,6,36,,,,,13 Jul 1991
Argentina,New Zealand,14,28,,,,,6 Jul 1991
Scotland,Ireland,28,25,,,,,16 Mar 1991
England,France,21,19,,,,,16 Mar 1991
Ireland,England,7,16,,,,,2 Mar 1991
France,Wales,36,3,,,,,2 Mar 1991
Wales,Ireland,21,21,,,,,16 Fev 1991
England,Scotland,21,12,,,,,16 Fev 1991
Ireland,France,13,21,,,,,2 Fev 1991
Scotland,Wales,32,12,,,,,2 Fev 1991
Wales,England,6,25,,,,,19 Jan 1991
France,Scotland,15,9,,,,,19 Jan 1991
France,New Zealand,12,30,,,,,10 Nov 1990
Scotland,Argentina,49,3,,,,,10 Nov 1990
France,New Zealand,3,24,,,,,3 Nov 1990
England,Argentina,51,0,,,,,3 Nov 1990
Ireland,Argentina,20,18,,,,,27 Oct 1990
New Zealand,Australia,9,21,,,,,18 Aou 1990
New Zealand,Australia,27,17,,,,,4 Aou 1990
Argentina,England,15,13,,,,,4 Aou 1990
Argentina,England,12,25,,,,,28 Jul 1990
New Zealand,Australia,21,6,,,,,21 Jul 1990
Australia,France,19,28,,,,,30 Jui 1990
Australia,France,48,31,,,,,24 Jui 1990
New Zealand,Scotland,21,18,,,,,23 Jui 1990
New Zealand,Scotland,31,16,,,,,16 Jui 1990
Australia,France,21,9,,,,,9 Jui 1990
Ireland,Wales,14,8,,,,,24 Mar 1990
Scotland,England,13,7,,,,,17 Mar 1990
Wales,Scotland,9,13,,,,,3 Mar 1990
France,Ireland,31,12,,,,,3 Mar 1990
England,Wales,34,6,,,,,17 Fev 1990
Scotland,France,21,0,,,,,17 Fev 1990
France,England,7,26,,,,,3 Fev 1990
Ireland,Scotland,10,13,,,,,3 Fev 1990
Wales,France,19,29,,,,,20 Jan 1990
England,Ireland,23,0,,,,,20 Jan 1990
Ireland,New Zealand,6,23,,,,,18 Nov 1989
France,Australia,25,19,,,,,11 Nov 1989
Wales,New Zealand,9,34,,,,,4 Nov 1989
France,Australia,15,32,,,,,4 Nov 1989
New Zealand,Australia,24,12,,,,,5 Aou 1989
New Zealand,Argentina,49,12,,,,,29 Jul 1989
New Zealand,Argentina,60,9,,,,,15 Jul 1989
New Zealand,France,34,20,,,,,1 Jul 1989
Argentina,Italy,21,16,,,,,24 Jui 1989
New Zealand,France,25,17,,,,,17 Jui 1989
Wales,England,12,9,,,,,18 Mar 1989
France,Scotland,19,3,,,,,18 Mar 1989
Scotland,Ireland,37,21,,,,,4 Mar 1989
England,France,11,0,,,,,4 Mar 1989
Ireland,England,3,16,,,,,18 Fev 1989
France,Wales,31,12,,,,,18 Fev 1989
Wales,Ireland,13,19,,,,,4 Fev 1989
England,Scotland,12,12,,,,,4 Fev 1989
Ireland,France,21,26,,,,,21 Jan 1989
Scotland,Wales,23,7,,,,,21 Jan 1989
Ireland,Italy,31,15,,,,,31  1988
Italy,Australia,6,55,,,,,3  1988
Scotland,Australia,13,32,,,,,19 Nov 1988
France,Argentina,28,18,,,,,11 Nov 1988
England,Australia,28,19,,,,,5 Nov 1988
France,Argentina,29,9,,,,,5 Nov 1988
Australia,New Zealand,9,30,,,,,30 Jul 1988
Australia,New Zealand,19,19,,,,,16 Jul 1988
Australia,New Zealand,7,32,,,,,3 Jul 1988
Argentina,France,18,6,,,,,25 Jui 1988
Argentina,France,15,18,,,,,18 Jui 1988
Australia,England,28,8,,,,,12 Jui 1988
New Zealand,Wales,54,9,,,,,11 Jui 1988
Australia,England,22,16,,,,,29 Mai 1988
New Zealand,Wales,52,3,,,,,28 Mai 1988
Ireland,England,10,21,,,,,23 Avr 1988
Wales,France,9,10,,,,,19 Mar 1988
England,Ireland,35,3,,,,,19 Mar 1988
Ireland,Wales,9,12,,,,,5 Mar 1988
Scotland,England,6,9,,,,,5 Mar 1988
Wales,Scotland,25,20,,,,,20 Fev 1988
France,Ireland,25,6,,,,,20 Fev 1988
Scotland,France,23,12,,,,,6 Fev 1988
England,Wales,3,11,,,,,6 Fev 1988
Ireland,Scotland,22,18,,,,,16 Jan 1988
France,England,10,9,,,,,16 Jan 1988
Argentina,Australia,27,19,,,,,7 Nov 1987
Argentina,Australia,19,19,,,,,31 Oct 1987
Australia,New Zealand,16,30,,,,,25 Jul 1987
New Zealand,France,29,9,,,,,20 Jui 1987
Australia,Wales,21,22,,,,,18 Jui 1987
New Zealand,Wales,49,6,,,,,14 Jui 1987
Australia,France,24,30,,,,,12 Jui 1987
England,Wales,3,16,,,,,8 Jui 1987
Australia,Ireland,33,15,,,,,7 Jui 1987
New Zealand,Scotland,30,3,,,,,6 Jui 1987
New Zealand,Argentina,46,15,,,,,1 Jui 1987
Argentina,Italy,25,16,,,,,28 Mai 1987
Ireland,Wales,6,13,,,,,25 Mai 1987
France,Scotland,20,20,,,,,23 Mai 1987
Australia,England,19,6,,,,,23 Mai 1987
New Zealand,Italy,70,6,,,,,22 Mai 1987
Wales,Ireland,11,15,,,,,4 Avr 1987
England,Scotland,21,12,,,,,4 Avr 1987
Ireland,France,13,19,,,,,21 Mar 1987
Scotland,Wales,21,15,,,,,21 Mar 1987
France,Scotland,28,22,,,,,7 Mar 1987
Wales,England,19,12,,,,,7 Mar 1987
England,France,15,19,,,,,21 Fev 1987
Scotland,Ireland,16,12,,,,,21 Fev 1987
France,Wales,16,9,,,,,7 Fev 1987
Ireland,England,17,0,,,,,7 Fev 1987
France,New Zealand,16,3,,,,,15 Nov 1986
France,New Zealand,7,19,,,,,8 Nov 1986
New Zealand,Australia,9,22,,,,,6 Sep 1986
New Zealand,Australia,13,12,,,,,23 Aou 1986
New Zealand,Australia,12,13,,,,,9 Aou 1986
Australia,Argentina,26,0,,,,,12 Jul 1986
Australia,Argentina,39,19,,,,,6 Jul 1986
New Zealand,France,18,9,,,,,28 Jui 1986
Australia,France,27,14,,,,,21 Jui 1986
Argentina,France,9,22,,,,,7 Jui 1986
Australia,Italy,39,18,,,,,1 Jui 1986
Argentina,France,15,13,,,,,31 Mai 1986
Ireland,Scotland,9,10,,,,,15 Mar 1986
France,England,29,10,,,,,15 Mar 1986
Wales,France,15,23,,,,,1 Mar 1986
England,Ireland,25,20,,,,,1 Mar 1986
Ireland,Wales,12,19,,,,,15 Fev 1986
Scotland,England,33,6,,,,,15 Fev 1986
Wales,Scotland,22,15,,,,,1 Fev 1986
France,Ireland,29,9,,,,,1 Fev 1986
England,Wales,21,18,,,,,18 Jan 1986
Scotland,France,18,17,,,,,18 Jan 1986
Argentina,New Zealand,21,21,,,,,2 Nov 1985
Argentina,New Zealand,20,33,,,,,26 Oct 1985
Argentina,France,15,23,,,,,29 Jui 1985
New Zealand,Australia,10,9,,,,,29 Jui 1985
Argentina,France,24,16,,,,,22 Jui 1985
New Zealand,England,42,15,,,,,8 Jui 1985
New Zealand,England,18,13,,,,,1 Jui 1985
Wales,England,24,15,,,,,20 Avr 1985
Ireland,England,13,10,,,,,30 Mar 1985
France,Wales,14,3,,,,,30 Mar 1985
Wales,Ireland,9,21,,,,,16 Mar 1985
England,Scotland,10,7,,,,,16 Mar 1985
Scotland,Wales,21,25,,,,,2 Mar 1985
Ireland,France,15,15,,,,,2 Mar 1985
France,Scotland,11,3,,,,,16 Fev 1985
Scotland,Ireland,15,18,,,,,2 Fev 1985
England,France,9,9,,,,,2 Fev 1985
Scotland,Australia,12,37,,,,,8  1984
Wales,Australia,9,28,,,,,24 Nov 1984
Ireland,Australia,9,16,,,,,10 Nov 1984
England,Australia,3,19,,,,,3 Nov 1984
Australia,New Zealand,24,25,,,,,18 Aou 1984
Australia,New Zealand,15,19,,,,,4 Aou 1984
Australia,New Zealand,16,9,,,,,21 Jul 1984
New Zealand,France,31,18,,,,,23 Jui 1984
New Zealand,France,10,9,,,,,16 Jui 1984
South Africa,England,35,9,,,,,9 Jui 1984
South Africa,England,33,15,,,,,2 Jui 1984
England,Wales,15,24,,,,,17 Mar 1984
Scotland,France,21,12,,,,,17 Mar 1984
Ireland,Scotland,9,32,,,,,3 Mar 1984
France,England,32,18,,,,,3 Mar 1984
Wales,France,16,21,,,,,18 Fev 1984
England,Ireland,12,9,,,,,18 Fev 1984
Ireland,Wales,9,18,,,,,4 Fev 1984
Scotland,England,18,6,,,,,4 Fev 1984
Wales,Scotland,9,15,,,,,21 Jan 1984
France,Ireland,25,12,,,,,21 Jan 1984
England,New Zealand,15,9,,,,,19 Nov 1983
France,Australia,15,6,,,,,19 Nov 1983
France,Australia,15,15,,,,,13 Nov 1983
Scotland,New Zealand,25,25,,,,,12 Nov 1983
Italy,Australia,7,29,,,,,22 Oct 1983
Australia,New Zealand,8,18,,,,,20 Aou 1983
Australia,Argentina,29,13,,,,,7 Aou 1983
Australia,Argentina,3,18,,,,,31 Jul 1983
Ireland,England,25,15,,,,,19 Mar 1983
France,Wales,16,9,,,,,19 Mar 1983
England,Scotland,12,22,,,,,5 Mar 1983
Wales,Ireland,23,9,,,,,5 Mar 1983
Scotland,Wales,15,19,,,,,19 Fev 1983
Ireland,France,22,16,,,,,19 Fev 1983
France,Scotland,19,15,,,,,5 Fev 1983
Wales,England,13,13,,,,,5 Fev 1983
England,France,15,19,,,,,15 Jan 1983
Scotland,Ireland,13,15,,,,,15 Jan 1983
France,Argentina,13,6,,,,,20 Nov 1982
France,Argentina,25,12,,,,,14 Nov 1982
New Zealand,Australia,33,18,,,,,11 Sep 1982
New Zealand,Australia,16,19,,,,,28 Aou 1982
New Zealand,Australia,23,16,,,,,14 Aou 1982
Australia,Scotland,33,9,,,,,10 Jul 1982
Australia,Scotland,7,12,,,,,4 Jul 1982
Wales,Scotland,18,34,,,,,20 Mar 1982
France,Ireland,22,9,,,,,20 Mar 1982
England,Wales,17,7,,,,,6 Mar 1982
Scotland,France,16,7,,,,,6 Mar 1982
France,England,15,27,,,,,20 Fev 1982
Ireland,Scotland,21,12,,,,,20 Fev 1982
England,Ireland,15,16,,,,,6 Fev 1982
Wales,France,22,12,,,,,6 Fev 1982
Ireland,Wales,20,12,,,,,23 Jan 1982
Scotland,England,9,9,,,,,16 Jan 1982
